sample_id,TAN,AVS,TOC,Metals_TierII,mud_fraction,synthetic_latent_stress,PC1
S001,1.084518229743413,0.9736422441773536,3.4491439875652814,0.754317028102139,0.48169069316393376,0.2938730992382042,0.26119195532937306
S002,0.5090426502847507,0.2948427867383349,0.7050096725392302,0.23444894989935863,0.18035796150733166,-1.2815099246710329,-2.516040257699634
S003,1.14886006958739,1.3249670275933074,2.494382401556529,0.6970365887335631,0.29249804939888663,0.03676642135265001,-0.09984946415094542
S004,0.3555046345438958,0.6353626484843634,0.8146938410304922,0.6516100822729587,0.3314025924428889,-0.5527341071678595,-1.505819483915437
S005,0.9907291252087892,1.4781350921489789,2.5519639950159836,0.8468829073602434,0.4943176845975547,0.10010140921093831,0.36398207169464386
S006,2.764089817875238,2.1158108316283033,2.0307979164265806,1.424476560761917,0.6889524926983058,0.7493067425980892,1.5941775564477836
S007,1.0341711331382513,0.9225045902560073,1.4180984257714544,0.3220335777051877,0.17639938803625113,-0.5992762947162803,-1.1601501132938499
S008,4.243735114659896,2.030864522794137,11.96675717284596,3.914500471786015,0.7691498919112578,1.6205947460432353,3.147422769573692
S009,0.764250796827015,0.4617654503359656,1.6572875928497988,0.5908021004213093,0.5109826354862341,-0.19515161563365607,-0.6464405284655178
S010,3.455004395446185,1.5124827502819203,4.7575804874211896,1.0442557815093896,0.7579734176437376,0.7251977612775939,1.9225781674331701
S011,3.698970050470696,0.89830309608946,3.2260973463876295,1.719636006215055,0.6850792613121115,0.8299503269540518,1.596234964848986
S012,6.842593279556353,5.610595796368589,7.126911188063175,2.8445703728014897,0.8362412574712808,1.7698535499350896,3.7104597236957555
S013,2.8777096661375645,1.3560556644147468,4.469952011988207,1.3004286310453235,0.7124680629681295,0.6760379507761068,1.7391606553980263
S014,0.7560011934887799,0.7373188458542832,0.9543889081462583,0.47256643078266275,0.2318697193648165,-0.5525865294519546,-1.3100972714713417
S015,0.8756323394432798,0.2884459282245022,0.76327820344505,0.47366271029580737,0.2407994543593812,-0.7477294778136501,-1.7638410370741076
S016,2.0700315348049934,1.778420425590895,1.8406620795550517,1.0583969077122373,0.5127189609058928,0.3547883660262017,0.8417194244753003
S017,0.8800907672617871,0.4178295629918291,0.532762558032705,0.356593874173225,0.2680472590157174,-1.1048656987193173,-1.7905622894892745
S018,1.7237925310136537,1.0627580986151626,2.222852575598003,1.666639232214456,0.6294450470379939,0.43286402736647595,0.9881325846256582
S019,8.697140065637011,4.934858331429322,13.070816376015866,2.7038135168417936,0.8203194580958463,1.922529596892525,3.9686276870914243
S020,2.287113019125445,1.0285653919988615,2.2656475322804472,1.1382002420561974,0.3782831921520083,0.6546332987718532,0.4856569070065941
